attack,classfication,defense,height_m,hp,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
105,Deceiver Pokémon,125,0.6,50,Mawile,303,55,95,50,steel,fairy,11.5,3,0
70,Iron Armor Pokémon,100,0.4,50,Aron,304,40,40,30,steel,rock,60,3,0
90,Iron Armor Pokémon,140,0.9,60,Lairon,305,50,50,40,steel,rock,120,3,0
140,Iron Armor Pokémon,230,2.1,70,Aggron,306,60,80,50,steel,rock,360,3,0
40,Meditate Pokémon,55,0.6,30,Meditite,307,40,55,60,fighting,psychic,11.2,3,0
100,Meditate Pokémon,85,1.3,60,Medicham,308,80,85,100,fighting,psychic,31.5,3,0
45,Lightning Pokémon,40,0.6,40,Electrike,309,65,40,65,electric,,15.2,3,0
75,Discharge Pokémon,80,1.5,70,Manectric,310,135,80,135,electric,,40.2,3,0
50,Cheering Pokémon,40,0.4,60,Plusle,311,85,75,95,electric,,4.2,3,0
40,Cheering Pokémon,50,0.4,60,Minun,312,75,85,95,electric,,4.2,3,0
73,Firefly Pokémon,75,0.7,65,Volbeat,313,47,85,85,bug,,17.7,3,0
47,Firefly Pokémon,75,0.6,65,Illumise,314,73,85,85,bug,,17.7,3,0
60,Thorn Pokémon,45,0.3,50,Roselia,315,100,80,65,grass,poison,2,3,0
43,Stomach Pokémon,53,0.4,70,Gulpin,316,43,53,40,poison,,10.3,3,0
73,Poison Bag Pokémon,83,1.7,100,Swalot,317,73,83,55,poison,,80,3,0
90,Savage Pokémon,20,0.8,45,Carvanha,318,65,20,65,water,dark,20.8,3,0
140,Brutal Pokémon,70,1.8,70,Sharpedo,319,110,65,105,water,dark,88.8,3,0
70,Ball Whale Pokémon,35,2,130,Wailmer,320,70,35,60,water,,130,3,0
90,Float Whale Pokémon,45,14.5,170,Wailord,321,90,45,60,water,,398,3,0
60,Numb Pokémon,40,0.7,60,Numel,322,65,45,35,fire,ground,24,3,0
120,Eruption Pokémon,100,1.9,70,Camerupt,323,145,105,20,fire,ground,220,3,0
85,Coal Pokémon,140,0.5,70,Torkoal,324,85,70,20,fire,,80.4,3,0
25,Bounce Pokémon,35,0.7,60,Spoink,325,70,80,60,psychic,,30.6,3,0
45,Manipulate Pokémon,65,0.9,80,Grumpig,326,90,110,80,psychic,,71.5,3,0
60,Spot Panda Pokémon,60,1.1,60,Spinda,327,60,60,60,normal,,5,3,0
100,Ant Pit Pokémon,45,0.7,45,Trapinch,328,45,45,10,ground,,15,3,0
70,Vibration Pokémon,50,1.1,50,Vibrava,329,50,50,70,ground,dragon,15.3,3,0
100,Mystic Pokémon,80,2,80,Flygon,330,80,80,100,ground,dragon,82,3,0
85,Cactus Pokémon,40,0.4,50,Cacnea,331,85,40,35,grass,,51.3,3,0
115,Scarecrow Pokémon,60,1.3,70,Cacturne,332,115,60,55,grass,dark,77.4,3,0
40,Cotton Bird Pokémon,60,0.4,45,Swablu,333,40,75,50,normal,flying,1.2,3,0
110,Humming Pokémon,110,1.1,75,Altaria,334,110,105,80,dragon,flying,20.6,3,0
115,Cat Ferret Pokémon,60,1.3,73,Zangoose,335,60,60,90,normal,,40.3,3,0
100,Fang Snake Pokémon,60,2.7,73,Seviper,336,100,60,65,poison,,52.5,3,0
55,Meteorite Pokémon,65,1,90,Lunatone,337,95,85,70,rock,psychic,168,3,0
95,Meteorite Pokémon,85,1.2,90,Solrock,338,55,65,70,rock,psychic,154,3,0
48,Whiskers Pokémon,43,0.4,50,Barboach,339,46,41,60,water,ground,1.9,3,0
78,Whiskers Pokémon,73,0.9,110,Whiscash,340,76,71,60,water,ground,23.6,3,0
80,Ruffian Pokémon,65,0.6,43,Corphish,341,50,35,35,water,,11.5,3,0
120,Rogue Pokémon,85,1.1,63,Crawdaunt,342,90,55,55,water,dark,32.8,3,0
40,Clay Doll Pokémon,55,0.5,40,Baltoy,343,40,70,55,ground,psychic,21.5,3,0
70,Clay Doll Pokémon,105,1.5,60,Claydol,344,70,120,75,ground,psychic,108,3,0
41,Sea Lily Pokémon,77,1,66,Lileep,345,61,87,23,rock,grass,23.8,3,0
81,Barnacle Pokémon,97,1.5,86,Cradily,346,81,107,43,rock,grass,60.4,3,0
95,Old Shrimp Pokémon,50,0.7,45,Anorith,347,40,50,75,rock,bug,12.5,3,0
125,Plate Pokémon,100,1.5,75,Armaldo,348,70,80,45,rock,bug,68.2,3,0
15,Fish Pokémon,20,0.6,20,Feebas,349,10,55,80,water,,7.4,3,0
60,Tender Pokémon,79,6.2,95,Milotic,350,100,125,81,water,,162,3,0
70,Weather Pokémon,70,0.3,70,Castform,351,70,70,70,normal,,0.8,3,0
90,Color Swap Pokémon,70,1,60,Kecleon,352,60,120,40,normal,,22,3,0
75,Puppet Pokémon,35,0.6,44,Shuppet,353,63,33,45,ghost,,2.3,3,0
165,Marionette Pokémon,75,1.1,64,Banette,354,93,83,75,ghost,,12.5,3,0
40,Requiem Pokémon,90,0.8,20,Duskull,355,30,90,25,ghost,,15,3,0
70,Beckon Pokémon,130,1.6,40,Dusclops,356,60,130,25,ghost,,30.6,3,0
68,Fruit Pokémon,83,2,99,Tropius,357,72,87,51,grass,flying,100,3,0
50,Wind Chime Pokémon,80,0.6,75,Chimecho,358,95,90,65,psychic,,1,3,0
150,Disaster Pokémon,60,1.2,65,Absol,359,115,60,115,dark,,47,3,0
23,Bright Pokémon,48,0.6,95,Wynaut,360,23,48,23,psychic,,14,3,0
50,Snow Hat Pokémon,50,0.7,50,Snorunt,361,50,50,50,ice,,16.8,3,0
120,Face Pokémon,80,1.5,80,Glalie,362,120,80,100,ice,,256.5,3,0
40,Clap Pokémon,50,0.8,70,Spheal,363,55,50,25,ice,water,39.5,3,0
60,Ball Roll Pokémon,70,1.1,90,Sealeo,364,75,70,45,ice,water,87.6,3,0
80,Ice Break Pokémon,90,1.4,110,Walrein,365,95,90,65,ice,water,150.6,3,0
64,Bivalve Pokémon,85,0.4,35,Clamperl,366,74,55,32,water,,52.5,3,0
104,Deep Sea Pokémon,105,1.7,55,Huntail,367,94,75,52,water,,27,3,0
84,South Sea Pokémon,105,1.8,55,Gorebyss,368,114,75,52,water,,22.6,3,0
90,Longevity Pokémon,130,1,100,Relicanth,369,45,65,55,water,rock,23.4,3,0
30,Rendezvous Pokémon,55,0.6,43,Luvdisc,370,40,65,97,water,,8.7,3,0
75,Rock Head Pokémon,60,0.6,45,Bagon,371,40,30,50,dragon,,42.1,3,0
95,Endurance Pokémon,100,1.1,65,Shelgon,372,60,50,50,dragon,,110.5,3,0
145,Dragon Pokémon,130,1.5,95,Salamence,373,120,90,120,dragon,flying,102.6,3,0
55,Iron Ball Pokémon,80,0.6,40,Beldum,374,35,60,30,steel,psychic,95.2,3,0
75,Iron Claw Pokémon,100,1.2,60,Metang,375,55,80,50,steel,psychic,202.5,3,0
145,Iron Leg Pokémon,150,1.6,80,Metagross,376,105,110,110,steel,psychic,550,3,0
100,Rock Peak Pokémon,200,1.7,80,Regirock,377,50,100,50,rock,,230,3,1
50,Iceberg Pokémon,100,1.8,80,Regice,378,100,200,50,ice,,175,3,1
75,Iron Pokémon,150,1.9,80,Registeel,379,75,150,50,steel,,205,3,1
100,Eon Pokémon,120,1.4,80,Latias,380,140,150,110,dragon,psychic,40,3,1
130,Eon Pokémon,100,2,80,Latios,381,160,120,110,dragon,psychic,60,3,1
150,Sea Basin Pokémon,90,4.5,100,Kyogre,382,180,160,90,water,,352,3,1
180,Continent Pokémon,160,3.5,100,Groudon,383,150,90,90,ground,,950,3,1
180,Sky High Pokémon,100,7,105,Rayquaza,384,180,100,115,dragon,flying,206.5,3,1
100,Wish Pokémon,100,0.3,100,Jirachi,385,100,100,100,steel,psychic,1.1,3,1
95,DNA Pokémon,90,1.7,50,Deoxys,386,95,90,180,psychic,,60.8,3,1
68,Tiny Leaf Pokémon,64,0.4,55,Turtwig,387,45,55,31,grass,,10.2,4,0
89,Grove Pokémon,85,1.1,75,Grotle,388,55,65,36,grass,,97,4,0
109,Continent Pokémon,105,2.2,95,Torterra,389,75,85,56,grass,ground,310,4,0
58,Chimp Pokémon,44,0.5,44,Chimchar,390,58,44,61,fire,,6.2,4,0
78,Playful Pokémon,52,0.9,64,Monferno,391,78,52,81,fire,fighting,22,4,0
104,Flame Pokémon,71,1.2,76,Infernape,392,104,71,108,fire,fighting,55,4,0
51,Penguin Pokémon,53,0.4,53,Piplup,393,61,56,40,water,,5.2,4,0
66,Penguin Pokémon,68,0.8,64,Prinplup,394,81,76,50,water,,23,4,0
86,Emperor Pokémon,88,1.7,84,Empoleon,395,111,101,60,water,steel,84.5,4,0
55,Starling Pokémon,30,0.3,40,Starly,396,30,30,60,normal,flying,2,4,0
75,Starling Pokémon,50,0.6,55,Staravia,397,40,40,80,normal,flying,15.5,4,0
120,Predator Pokémon,70,1.2,85,Staraptor,398,50,60,100,normal,flying,24.9,4,0
45,Plump Mouse Pokémon,40,0.5,59,Bidoof,399,35,40,31,normal,,20,4,0
85,Beaver Pokémon,60,1,79,Bibarel,400,55,60,71,normal,water,31.5,4,0
25,Cricket Pokémon,41,0.3,37,Kricketot,401,25,41,25,bug,,2.2,4,0
85,Cricket Pokémon,51,1,77,Kricketune,402,55,51,65,bug,,25.5,4,0
65,Flash Pokémon,34,0.5,45,Shinx,403,40,34,45,electric,,9.5,4,0
85,Spark Pokémon,49,0.9,60,Luxio,404,60,49,60,electric,,30.5,4,0
120,Gleam Eyes Pokémon,79,1.4,80,Luxray,405,95,79,70,electric,,42,4,0
30,Bud Pokémon,35,0.2,40,Budew,406,50,70,55,grass,poison,1.2,4,0
70,Bouquet Pokémon,65,0.9,60,Roserade,407,125,105,90,grass,poison,14.5,4,0
125,Head Butt Pokémon,40,0.9,67,Cranidos,408,30,30,58,rock,,31.5,4,0
165,Head Butt Pokémon,60,1.6,97,Rampardos,409,65,50,58,rock,,102.5,4,0
42,Shield Pokémon,118,0.5,30,Shieldon,410,42,88,30,rock,steel,57,4,0
52,Shield Pokémon,168,1.3,60,Bastiodon,411,47,138,30,rock,steel,149.5,4,0
29,Bagworm Pokémon,45,0.2,40,Burmy,412,29,45,36,bug,,3.4,4,0
69,Bagworm Pokémon,95,0.5,60,Wormadam,413,69,95,36,bug,grass,6.5,4,0
94,Moth Pokémon,50,0.9,70,Mothim,414,94,50,66,bug,flying,23.3,4,0
30,Tiny Bee Pokémon,42,0.3,30,Combee,415,30,42,70,bug,flying,5.5,4,0
80,Beehive Pokémon,102,1.2,70,Vespiquen,416,80,102,40,bug,flying,38.5,4,0
45,EleSquirrel Pokémon,70,0.4,60,Pachirisu,417,45,90,95,electric,,3.9,4,0
65,Sea Weasel Pokémon,35,0.7,55,Buizel,418,60,30,85,water,,29.5,4,0
105,Sea Weasel Pokémon,55,1.1,85,Floatzel,419,85,50,115,water,,33.5,4,0
35,Cherry Pokémon,45,0.4,45,Cherubi,420,62,53,35,grass,,3.3,4,0
60,Blossom Pokémon,70,0.5,70,Cherrim,421,87,78,85,grass,,9.3,4,0
48,Sea Slug Pokémon,48,0.3,76,Shellos,422,57,62,34,water,,6.3,4,0
83,Sea Slug Pokémon,68,0.9,111,Gastrodon,423,92,82,39,water,ground,29.9,4,0
100,Long Tail Pokémon,66,1.2,75,Ambipom,424,60,66,115,normal,,20.3,4,0
50,Balloon Pokémon,34,0.4,90,Drifloon,425,60,44,70,ghost,flying,1.2,4,0
80,Blimp Pokémon,44,1.2,150,Drifblim,426,90,54,80,ghost,flying,15,4,0
66,Rabbit Pokémon,44,0.4,55,Buneary,427,44,56,85,normal,,5.5,4,0
136,Rabbit Pokémon,94,1.2,65,Lopunny,428,54,96,135,normal,,33.3,4,0
60,Magical Pokémon,60,0.9,60,Mismagius,429,105,105,105,ghost,,4.4,4,0
125,Big Boss Pokémon,52,0.9,100,Honchkrow,430,105,52,71,dark,flying,27.3,4,0
55,Catty Pokémon,42,0.5,49,Glameow,431,42,37,85,normal,,3.9,4,0
82,Tiger Cat Pokémon,64,1,71,Purugly,432,64,59,112,normal,,43.8,4,0
30,Bell Pokémon,50,0.2,45,Chingling,433,65,50,45,psychic,,0.6,4,0
63,Skunk Pokémon,47,0.4,63,Stunky,434,41,41,74,poison,dark,19.2,4,0
93,Skunk Pokémon,67,1,103,Skuntank,435,71,61,84,poison,dark,38,4,0
24,Bronze Pokémon,86,0.5,57,Bronzor,436,24,86,23,steel,psychic,60.5,4,0
89,Bronze Bell Pokémon,116,1.3,67,Bronzong,437,79,116,33,steel,psychic,187,4,0
80,Bonsai Pokémon,95,0.5,50,Bonsly,438,10,45,10,rock,,15,4,0
25,Mime Pokémon,45,0.6,20,Mime Jr.,439,70,90,60,psychic,fairy,13,4,0
5,Playhouse Pokémon,5,0.6,100,Happiny,440,15,65,30,normal,,24.4,4,0
65,Music Note Pokémon,45,0.5,76,Chatot,441,92,42,91,normal,flying,1.9,4,0
92,Forbidden Pokémon,108,1,50,Spiritomb,442,92,108,35,ghost,dark,108,4,0
70,Land Shark Pokémon,45,0.7,58,Gible,443,40,45,42,dragon,ground,20.5,4,0
90,Cave Pokémon,65,1.4,68,Gabite,444,50,55,82,dragon,ground,56,4,0
170,Mach Pokémon,115,1.9,108,Garchomp,445,120,95,92,dragon,ground,95,4,0
85,Big Eater Pokémon,40,0.6,135,Munchlax,446,40,85,5,normal,,105,4,0
70,Emanation Pokémon,40,0.7,40,Riolu,447,35,40,60,fighting,,20.2,4,0
145,Aura Pokémon,88,1.2,70,Lucario,448,140,70,112,fighting,steel,54,4,0
72,Hippo Pokémon,78,0.8,68,Hippopotas,449,38,42,32,ground,,49.5,4,0
112,Heavyweight Pokémon,118,2,108,Hippowdon,450,68,72,47,ground,,300,4,0
50,Scorpion Pokémon,90,0.8,40,Skorupi,451,30,55,65,poison,bug,12,4,0
90,Ogre Scorp Pokémon,110,1.3,70,Drapion,452,60,75,95,poison,dark,61.5,4,0
61,Toxic Mouth Pokémon,40,0.7,48,Croagunk,453,61,40,50,poison,fighting,23,4,0
106,Toxic Mouth Pokémon,65,1.3,83,Toxicroak,454,86,65,85,poison,fighting,44.4,4,0
100,Bug Catcher Pokémon,72,1.4,74,Carnivine,455,90,72,46,grass,,27,4,0
49,Wing Fish Pokémon,56,0.4,49,Finneon,456,49,61,66,water,,7,4,0
69,Neon Pokémon,76,1.2,69,Lumineon,457,69,86,91,water,,24,4,0
20,Kite Pokémon,50,1,45,Mantyke,458,60,120,50,water,flying,65,4,0
62,Frosted Tree Pokémon,50,1,60,Snover,459,62,60,40,grass,ice,50.5,4,0
132,Frosted Tree Pokémon,105,2.2,90,Abomasnow,460,132,105,30,grass,ice,135.5,4,0
120,Sharp Claw Pokémon,65,1.1,70,Weavile,461,45,85,125,dark,ice,34,4,0
70,Magnet Area Pokémon,115,1.2,70,Magnezone,462,130,90,60,electric,steel,180,4,0
85,Licking Pokémon,95,1.7,110,Lickilicky,463,80,95,50,normal,,140,4,0
140,Drill Pokémon,130,2.4,115,Rhyperior,464,55,55,40,ground,rock,282.8,4,0
100,Vine Pokémon,125,2,100,Tangrowth,465,110,50,50,grass,,128.6,4,0
123,Thunderbolt Pokémon,67,1.8,75,Electivire,466,95,85,95,electric,,138.6,4,0
95,Blast Pokémon,67,1.6,75,Magmortar,467,125,95,83,fire,,68,4,0
50,Jubilee Pokémon,95,1.5,85,Togekiss,468,120,115,80,fairy,flying,38,4,0
76,Ogre Darner Pokémon,86,1.9,86,Yanmega,469,116,56,95,bug,flying,51.5,4,0
110,Verdant Pokémon,130,1,65,Leafeon,470,60,65,95,grass,,25.5,4,0
60,Fresh Snow Pokémon,110,0.8,65,Glaceon,471,130,95,65,ice,,25.9,4,0
95,Fang Scorp Pokémon,125,2,75,Gliscor,472,45,75,95,ground,flying,42.5,4,0
130,Twin Tusk Pokémon,80,2.5,110,Mamoswine,473,70,60,80,ice,ground,291,4,0
80,Virtual Pokémon,70,0.9,85,Porygon-Z,474,135,75,90,normal,,34,4,0
165,Blade Pokémon,95,1.6,68,Gallade,475,65,115,110,psychic,fighting,52,4,0
55,Compass Pokémon,145,1.4,60,Probopass,476,75,150,40,rock,steel,340,4,0
100,Gripper Pokémon,135,2.2,45,Dusknoir,477,65,135,45,ghost,,106.6,4,0
80,Snow Land Pokémon,70,1.3,70,Froslass,478,80,70,110,ice,ghost,26.6,4,0
65,Plasma Pokémon,107,0.3,50,Rotom,479,105,107,86,electric,ghost,0.3,4,0
75,Knowledge Pokémon,130,0.3,75,Uxie,480,75,130,95,psychic,,0.3,4,1
105,Emotion Pokémon,105,0.3,80,Mesprit,481,105,105,80,psychic,,0.3,4,1
125,Willpower Pokémon,70,0.3,75,Azelf,482,125,70,115,psychic,,0.3,4,1
120,Temporal Pokémon,120,5.4,100,Dialga,483,150,100,90,steel,dragon,683,4,1
120,Spatial Pokémon,100,4.2,90,Palkia,484,150,120,100,water,dragon,336,4,1
90,Lava Dome Pokémon,106,1.7,91,Heatran,485,130,106,77,fire,steel,430,4,1
160,Colossal Pokémon,110,3.7,110,Regigigas,486,80,110,100,normal,,420,4,1
120,Renegade Pokémon,100,4.5,150,Giratina,487,120,100,90,ghost,dragon,750,4,1
70,Lunar Pokémon,120,1.5,120,Cresselia,488,75,130,85,psychic,,85.6,4,1
80,Sea Drifter Pokémon,80,0.4,80,Phione,489,80,80,80,water,,3.1,4,0
100,Seafaring Pokémon,100,0.3,100,Manaphy,490,100,100,100,water,,1.4,4,1
90,Pitch-Black Pokémon,90,1.5,70,Darkrai,491,135,90,125,dark,,50.5,4,1
103,Gratitude Pokémon,75,0.2,100,Shaymin,492,120,75,127,grass,grass,2.1,4,1
120,Alpha Pokémon,120,3.2,120,Arceus,493,120,120,120,normal,,320,4,1
100,Victory Pokémon,100,0.4,100,Victini,494,100,100,100,psychic,fire,4,5,1
45,Grass Snake Pokémon,55,0.6,45,Snivy,495,45,55,63,grass,,8.1,5,0
60,Grass Snake Pokémon,75,0.8,60,Servine,496,60,75,83,grass,,16,5,0
75,Regal Pokémon,95,3.3,75,Serperior,497,75,95,113,grass,,63,5,0
63,Fire Pig Pokémon,45,0.5,65,Tepig,498,45,45,45,fire,,9.9,5,0
93,Fire Pig Pokémon,55,1,90,Pignite,499,70,55,55,fire,fighting,55.5,5,0
123,Mega Fire Pig Pokémon,65,1.6,110,Emboar,500,100,65,65,fire,fighting,150,5,0
55,Sea Otter Pokémon,45,0.5,55,Oshawott,501,63,45,45,water,,5.9,5,0
75,Discipline Pokémon,60,0.8,75,Dewott,502,83,60,60,water,,24.5,5,0
100,Formidable Pokémon,85,1.5,95,Samurott,503,108,70,70,water,,94.6,5,0
55,Scout Pokémon,39,0.5,45,Patrat,504,35,39,42,normal,,11.6,5,0
85,Lookout Pokémon,69,1.1,60,Watchog,505,60,69,77,normal,,27,5,0
60,Puppy Pokémon,45,0.4,45,Lillipup,506,25,45,55,normal,,4.1,5,0
80,Loyal Dog Pokémon,65,0.9,65,Herdier,507,35,65,60,normal,,14.7,5,0
110,Big-Hearted Pokémon,90,1.2,85,Stoutland,508,45,90,80,normal,,61,5,0
50,Devious Pokémon,37,0.4,41,Purrloin,509,50,37,66,dark,,10.1,5,0
88,Cruel Pokémon,50,1.1,64,Liepard,510,88,50,106,dark,,37.5,5,0
53,Grass Monkey Pokémon,48,0.6,50,Pansage,511,53,48,64,grass,,10.5,5,0
98,Thorn Monkey Pokémon,63,1.1,75,Simisage,512,98,63,101,grass,,30.5,5,0
53,High Temp Pokémon,48,0.6,50,Pansear,513,53,48,64,fire,,11,5,0
98,Ember Pokémon,63,1,75,Simisear,514,98,63,101,fire,,28,5,0
53,Spray Pokémon,48,0.6,50,Panpour,515,53,48,64,water,,13.5,5,0
98,Geyser Pokémon,63,1,75,Simipour,516,98,63,101,water,,29,5,0
25,Dream Eater Pokémon,45,0.6,76,Munna,517,67,55,24,psychic,,23.3,5,0
55,Drowsing Pokémon,85,1.1,116,Musharna,518,107,95,29,psychic,,60.5,5,0
55,Tiny Pigeon Pokémon,50,0.3,50,Pidove,519,36,30,43,normal,flying,2.1,5,0
77,Wild Pigeon Pokémon,62,0.6,62,Tranquill,520,50,42,65,normal,flying,15,5,0
115,Proud Pokémon,80,1.2,80,Unfezant,521,65,55,93,normal,flying,29,5,0
60,Electrified Pokémon,32,0.8,45,Blitzle,522,50,32,76,electric,,29.8,5,0
100,Thunderbolt Pokémon,63,1.6,75,Zebstrika,523,80,63,116,electric,,79.5,5,0
75,Mantle Pokémon,85,0.4,55,Roggenrola,524,25,25,15,rock,,18,5,0
105,Ore Pokémon,105,0.9,70,Boldore,525,50,40,20,rock,,102,5,0
135,Compressed Pokémon,130,1.7,85,Gigalith,526,60,80,25,rock,,260,5,0
45,Bat Pokémon,43,0.4,65,Woobat,527,55,43,72,psychic,flying,2.1,5,0
57,Courting Pokémon,55,0.9,67,Swoobat,528,77,55,114,psychic,flying,10.5,5,0
85,Mole Pokémon,40,0.3,60,Drilbur,529,30,45,68,ground,,8.5,5,0
135,Subterrene Pokémon,60,0.7,110,Excadrill,530,50,65,88,ground,steel,40.4,5,0
60,Hearing Pokémon,126,1.1,103,Audino,531,80,126,50,normal,,31,5,0
80,Muscular Pokémon,55,0.6,75,Timburr,532,25,35,35,fighting,,12.5,5,0
105,Muscular Pokémon,85,1.2,85,Gurdurr,533,40,50,40,fighting,,40,5,0
140,Muscular Pokémon,95,1.4,105,Conkeldurr,534,55,65,45,fighting,,87,5,0
50,Tadpole Pokémon,40,0.5,50,Tympole,535,50,40,64,water,,4.5,5,0
65,Vibration Pokémon,55,0.8,75,Palpitoad,536,65,55,69,water,ground,17,5,0
95,Vibration Pokémon,75,1.5,105,Seismitoad,537,85,75,74,water,ground,62,5,0
100,Judo Pokémon,85,1.3,120,Throh,538,30,85,45,fighting,,55.5,5,0
125,Karate Pokémon,75,1.4,75,Sawk,539,30,75,85,fighting,,51,5,0
53,Sewing Pokémon,70,0.3,45,Sewaddle,540,40,60,42,bug,grass,2.5,5,0
63,Leaf-Wrapped Pokémon,90,0.5,55,Swadloon,541,50,80,42,bug,grass,7.3,5,0
103,Nurturing Pokémon,80,1.2,75,Leavanny,542,70,80,92,bug,grass,20.5,5,0
45,Centipede Pokémon,59,0.4,30,Venipede,543,30,39,57,bug,poison,5.3,5,0
55,Curlipede Pokémon,99,1.2,40,Whirlipede,544,40,79,47,bug,poison,58.5,5,0
100,Megapede Pokémon,89,2.5,60,Scolipede,545,55,69,112,bug,poison,200.5,5,0
27,Cotton Puff Pokémon,60,0.3,40,Cottonee,546,37,50,66,grass,fairy,0.6,5,0
67,Windveiled Pokémon,85,0.7,60,Whimsicott,547,77,75,116,grass,fairy,6.6,5,0
35,Bulb Pokémon,50,0.5,45,Petilil,548,70,50,30,grass,,6.6,5,0
60,Flowering Pokémon,75,1.1,70,Lilligant,549,110,75,90,grass,,16.3,5,0
92,Hostile Pokémon,65,1,70,Basculin,550,80,55,98,water,,18,5,0
72,Desert Croc Pokémon,35,0.7,50,Sandile,551,35,35,65,ground,dark,15.2,5,0
82,Desert Croc Pokémon,45,1,60,Krokorok,552,45,45,74,ground,dark,33.4,5,0
117,Intimidation Pokémon,80,1.5,95,Krookodile,553,65,70,92,ground,dark,96.3,5,0
90,Zen Charm Pokémon,45,0.6,70,Darumaka,554,15,45,50,fire,,37.5,5,0
30,Blazing Pokémon,105,1.3,105,Darmanitan,555,140,105,55,fire,fire,92.9,5,0
86,Cactus Pokémon,67,1,75,Maractus,556,106,67,60,grass,,28,5,0
65,Rock Inn Pokémon,85,0.3,50,Dwebble,557,35,35,55,bug,rock,14.5,5,0
105,Stone Home Pokémon,125,1.4,70,Crustle,558,65,75,45,bug,rock,200,5,0
75,Shedding Pokémon,70,0.6,50,Scraggy,559,35,70,48,dark,fighting,11.8,5,0
90,Hoodlum Pokémon,115,1.1,65,Scrafty,560,45,115,58,dark,fighting,30,5,0
58,Avianoid Pokémon,80,1.4,72,Sigilyph,561,103,80,97,psychic,flying,14,5,0
30,Spirit Pokémon,85,0.5,38,Yamask,562,55,65,30,ghost,,1.5,5,0
50,Coffin Pokémon,145,1.7,58,Cofagrigus,563,95,105,30,ghost,,76.5,5,0
78,Prototurtle Pokémon,103,0.7,54,Tirtouga,564,53,45,22,water,rock,16.5,5,0
108,Prototurtle Pokémon,133,1.2,74,Carracosta,565,83,65,32,water,rock,81,5,0
112,First Bird Pokémon,45,0.5,55,Archen,566,74,45,70,rock,flying,9.5,5,0
140,First Bird Pokémon,65,1.4,75,Archeops,567,112,65,110,rock,flying,32,5,0
50,Trash Bag Pokémon,62,0.6,50,Trubbish,568,40,62,65,poison,,31,5,0
95,Trash Heap Pokémon,82,1.9,80,Garbodor,569,60,82,75,poison,,107.3,5,0
65,Tricky Fox Pokémon,40,0.7,40,Zorua,570,80,40,65,dark,,12.5,5,0
105,Illusion Fox Pokémon,60,1.6,60,Zoroark,571,120,60,105,dark,,81.1,5,0
50,Chinchilla Pokémon,40,0.4,55,Minccino,572,40,40,75,normal,,5.8,5,0
95,Scarf Pokémon,60,0.5,75,Cinccino,573,65,60,115,normal,,7.5,5,0
30,Fixation Pokémon,50,0.4,45,Gothita,574,55,65,45,psychic,,5.8,5,0
45,Manipulate Pokémon,70,0.7,60,Gothorita,575,75,85,55,psychic,,18,5,0
55,Astral Body Pokémon,95,1.5,70,Gothitelle,576,95,110,65,psychic,,44,5,0
30,Cell Pokémon,40,0.3,45,Solosis,577,105,50,20,psychic,,1,5,0
40,Mitosis Pokémon,50,0.6,65,Duosion,578,125,60,30,psychic,,8,5,0
65,Multiplying Pokémon,75,1,110,Reuniclus,579,125,85,30,psychic,,20.1,5,0
44,Water Bird Pokémon,50,0.5,62,Ducklett,580,44,50,55,water,flying,5.5,5,0
87,White Bird Pokémon,63,1.3,75,Swanna,581,87,63,98,water,flying,24.2,5,0
50,Fresh Snow Pokémon,50,0.4,36,Vanillite,582,65,60,44,ice,,5.7,5,0
65,Icy Snow Pokémon,65,1.1,51,Vanillish,583,80,75,59,ice,,41,5,0
95,Snowstorm Pokémon,85,1.3,71,Vanilluxe,584,110,95,79,ice,,57.5,5,0
60,Season Pokémon,50,0.6,60,Deerling,585,40,50,75,normal,grass,19.5,5,0
100,Season Pokémon,70,1.9,80,Sawsbuck,586,60,70,95,normal,grass,92.5,5,0
75,Sky Squirrel Pokémon,60,0.4,55,Emolga,587,75,60,103,electric,flying,5,5,0
75,Clamping Pokémon,45,0.5,50,Karrablast,588,40,45,60,bug,,5.9,5,0
135,Cavalry Pokémon,105,1,70,Escavalier,589,60,105,20,bug,steel,33,5,0
55,Mushroom Pokémon,45,0.2,69,Foongus,590,55,55,15,grass,poison,1,5,0
85,Mushroom Pokémon,70,0.6,114,Amoonguss,591,85,80,30,grass,poison,10.5,5,0
40,Floating Pokémon,50,1.2,55,Frillish,592,65,85,40,water,ghost,33,5,0
60,Floating Pokémon,70,2.2,100,Jellicent,593,85,105,60,water,ghost,135,5,0
75,Caring Pokémon,80,1.2,165,Alomomola,594,40,45,65,water,,31.6,5,0
47,Attaching Pokémon,50,0.1,50,Joltik,595,57,50,65,bug,electric,0.6,5,0
77,EleSpider Pokémon,60,0.8,70,Galvantula,596,97,60,108,bug,electric,14.3,5,0
50,Thorn Seed Pokémon,91,0.6,44,Ferroseed,597,24,86,10,grass,steel,18.8,5,0
94,Thorn Pod Pokémon,131,1,74,Ferrothorn,598,54,116,20,grass,steel,110,5,0
55,Gear Pokémon,70,0.3,40,Klink,599,45,60,30,steel,,21,5,0
80,Gear Pokémon,95,0.6,60,Klang,600,70,85,50,steel,,51,5,0
100,Gear Pokémon,115,0.6,60,Klinklang,601,70,85,90,steel,,81,5,0
55,EleFish Pokémon,40,0.2,35,Tynamo,602,45,40,60,electric,,0.3,5,0
